PLAYER,GP,PTS
Brittney Griner (PHX),31,900
Elena Delle Donne (WSH),31,606
Arike Ogunbowale (DAL),33,630
Natasha Howard (SEA),34,614
DeWanna Bonner (PHX),34,585
Tina Charles (NY),33,559
A'ja Wilson (LV),26,430
Diamond DeShields (CHI),34,551
Nneka Ogwumike (LA),32,514
Liz Cambage (LV),32,510
Tiffany Hayes (ATL),29,427
Jonquel Jones (CONN),34,497
Chelsea Gray (LA),34,492
Allie Quigley (CHI),34,469
Kia Nurse (NY),34,465
Sylvia Fowles (MIN),34,464
Kelsey Mitchell (IND),34,1000
Kayla McBride (LV),34,453
Courtney Williams (CONN),34,450
Napheesa Collier (MIN),34,444
Leilani Mitchell (PHX),32,410
Jewell Loyd (SEA),27,332
Alyssa Thomas (CONN),34,396
Candice Dupree (IND),34,395
Aerial Powers (WSH),33,1100
Courtney Vandersloot (CHI),33,369
Jasmine Thomas (CONN),34,379
Dearica Hamby (LV),34,373
Allisha Gray (DAL),34,362